Card Name,Temple,Tier,Cost,Power,Health,Sigils,Token,Traits,Tribes,Flavor Text,Credit
Ant Queen,Beast,Uncommon,2 blood,1,3,Ant Spawner,,,Noble Ant Insect,"Regal, royal, and a mother of pests.",Pixel Profligate
Cane Toad,Beast,Uncommon,2 blood,1,5,"Mighty Leap, Poisonous",,,Amphibian,"An ancient, voracious specimen.",Pixel Profligate
Magpie,Beast,Uncommon,2 blood,1,1,"Hoarder, Airborne",,,Avian,A collector of trinkets and trash alike.,Pixel Profligate
Pack Mule,Beast,Uncommon,2 blood,0,4,"Sprinter, Loaded",,,Hooved,"Defenseless, but well-stocked.",Pixel Profligate
Red Hart,Beast,Uncommon,2 blood,X,2,"Sprinter, Spilt Blood",,,Hooved,"A sanguine beast, doused in blood.",Pixel Profligate
Salmon,Beast,Uncommon,2 blood,2,1,"Waterborne, Sprinter",,,Fish,Expectedly slippery. Surprisingly strong.,Pixel Profligate
Lammergier,Beast,Uncommon,3 blood,X,4,"Heavy Wings, Scattered Bones",,,Avian,A horrific bird with a peculiar diet.,Pixel Profligate
Moose Buck,Beast,Uncommon,3 blood,2,7,"Hefty, Mighty Leap",,,Hooved,A towering and ever-powerful beast.,Pixel Profligate
Cockroach,Beast,Uncommon,4 bones,1,1,"Unkillable, Boneless",,,Insect,"An immortal, persistent nuisance.",Pixel Profligate
Geck,Beast,Rare,free,1,1,,,,Reptile,"Uninspiring, but charming despite it all.",Pixel Profligate
Hrokkall,Beast,Rare,1 blood,1,1,"Waterborne, Overclocked",,,Fish,"Vicious in looks, but frail in nature.",Pixel Profligate
Mantis God,Beast,Rare,1 blood,1,1,Trifurcated Strike,,,Insect,A perfect incarnation of terror.,Pixel Profligate
Mole Man,Beast,Rare,1 blood,0,6,"Burrower, Mighty Leap, Bone Digger",,,Vermin Cryptid,"An unyielding, ultimate defense.",Pixel Profligate
Amalgam,Beast,Rare,2 blood,3,3,Nameless,,,,Amalgam is all.,Pixel Profligate
Child 13,Beast,Rare,1 blood,0,1,"Many Lives, Starving Hemanation",,,Hooved Cryptid,"Left abandoned, cursed, and hungry.",Pixel Profligate
Great Kraken,Beast,Rare,1 blood,1,1,"Waterborne, Tentaclefull",,,,It just wants love.,Pixel Profligate
Hodag,Beast,Rare,2 blood,1,3,"Bloodlust, Bloodsucker",,,Cryptid,"A fearsome, hellacious creature.",Pixel Profligate
Ouroboros,Beast,Rare,2 blood,2,2,Unkillable,,,Reptile Cryptid,It will always return.,Pixel Profligate
Pack Rat,Beast,Rare,2 blood,2,2,Trinket Bearer,,,Vermin,A prudent rat bearing trinkets.,Pixel Profligate
Wendigo,Beast,Rare,2 blood,3,2,"Corpse Eater, Ravenous",,,Cryptid,A ravenous beast with insatiable hunger.,Pixel Profligate
White Whale,Beast,Rare,3 blood,2,7,"Regurgitate, Piercing, Aquanaut",,,Fish,Whalers gone mad at the mere sight.,"Nevernamed, Murigen"
Urayuli,Beast,Rare,4 blood,7,7,Sacrifices must be made,,,Cryptid,This level of brutality needs no words.,Pixel Profligate
Amoeba,Beast,Rare,2 bones,1,2,Amorphous,,,,"Always different, ever-changing.",PIxel Profligate
Jackrabbit,Beast,Talking,1 blood,0,3,"Rabbit Hole, Prism Gem, Battery Bearer, Bone Digger",,,Vermin,"""Ah, young one! A pleasure to see you!""",Murigen
Stunted Wolf,Beast,Talking,1 blood,2,2,,,,Mox Canine,"""Careful, now. Use me wisely.""",Pixel Profligate
The Stoat,Beast,Talking,1 blood,1,3,Battery Bearer,,,Vermin,"""Yep, it's me. Nice topdeck.""",Pixel Profligate
Conceited Cat,Beast,Talking,2 blood,1,1,"Annoying, Many Lives, Humgry",,,,"""You didn't need that card, right?""",Answearing Machine
Cormorant,Beast,Talking,2 blood,2,2,"Airborne, Falconry",,,Avian,"""You play. I fish.""",Pixel Profligate
Midwife Frog,Beast,Talking,2 blood,1,4,Croaking Trap,,,Amphibian,"""Yet another turn of the skinning knife...""",Pixel Profligate
Terrible Goose,Beast,Talking,2 blood,1,2,"Hoarder, Blood Battery, Airborne",,,Avian,"""Your deck's a lil' lel, not gonna lie.""",Bluemem
Wild Mutt,Beast,Talking,2 blood,2,3,"Gift Bearer, Go Fetch",,,Canine,"""'Tis a game o' chance! HEEEE-HAAW!!""",Pixel Profligate
Noble Stag,Beast,Talking,3 blood,0,3,"Many Lives, Lord of Beast",,,Hooved,"""I suppose it was only a matter of time.""",Pixel Profligate
Stinkbug,Beast,Talking,2 bones,1,2,"Stinky, Double Death",,,Insect,"""Salutations. A lucky draw.""",Pixel Profligate
Grave Diglin,Undead,Side Deck,free,0,1,"Bone Digger, Bloodless",,,Spectre,"A little spirit, happy to help.",Desaft
Shambling Cairn,Undead,Side Deck,free,0,1,"Unburial, Loose Bones, Bloodless",,,,"A critter, wandering burial grounds.",Murigen
Skeleton,Undead,Side Deck,free,1,1,"Unburial, Brittle, Bloodless",,,Skeleton,A frail and spooky mass of bones.,Pixel Profligate
Draugr,Undead,Common,free,0,1,"Frozen Away, Bloodless",Skeleton,,Possessed,"Frozen in time, waiting for freedom.",Pixel Profligate
Disturbed Grave,Undead,Common,1 bone,0,2,"Undeath, Bloodless",Zombie,,Zombie,They never stay dead for long.,Pixel Profligate
Gnarl Bark,Undead,Common,1 bone,0,3,"Rooted, Mighty Leap, Haunter",,,Possessed,A spooky visage in wood.,Pixel Profligate
Gravedigger,Undead,Common,1 bone,0,3,Bone Digger,,,,Willing to dig what needs to be dug.,Pixel Profligate
Jikininki,Undead,Common,1 bone,0,3,Scavenger,,,Possessed,He'll leave the bones for you to take.,Murigen
Tombit,Undead,Common,1 bone,0,2,"Made of Stone, Memoriam",,,,"A small, but honorable commemoration.",Murigen
Banshee,Undead,Common,2 bones,1,2,Airborne,,,Spectre,"Rather happy, despite the crying.",Pixel Profligate
Floating Urn,Undead,Common,2 bones,0,1,"Ensouled, Loose Bones, Bloodless",,,Possessed,"Flings itself around the room, hazardly.",Murigen
Pyroclasm,Undead,Common,2 bones,0,1,"Energy Gun, Rotting, Bloodless",,,Spectre,It is on the verge of burning out.,Murigen
Skelemagus,Undead,Common,2 bones,X,1,"Brittle, Gem Powered",,,Mox Skeleton,"A once proud mage, left to rot.",Pixel Profligate
Skeleton Crewmate,Undead,Common,2 bones,2,2,"Brittle, Crew Member",,,Skeleton Pirate,"A pirate in life, a pirate in death.","Murigen, Bluemem"
Tsutsugamushi,Undead,Common,2 bones,1,1,Bloodsucker,,,Insect Demon,"A bringer of illness, a siphon of life.",Murigen
Zombie,Undead,Common,2 bones,1,2,,,,Zombie,"Naught but a corpse, left to rot.",Pixel Profligate
Animator,Undead,Common,4 bones,1,2,Puppet Master,,,Skeleton,The puppet becomes the puppeteer.,Murigen
Ghast,Undead,Common,3 bones,1,1,Stinky,,,Zombie,A corpse left rotten and deformed.,Pixel Profligate
Grave Hopper,Undead,Common,3 bones,1,3,"Burrower, Fracture",,,Skeleton,They just want to find their own grave.,Pixel Profligate
Fiddlebones,Undead,Common,3 bones,0,3,"Sea Shanty, Sprinter, Memoriam",,,Spectre,Raves in taverns about lost sailors.,Murigen
Privateer,Undead,Common,3 bones,2,1,"Sniper, Aquanaut, Brittle",,,Skeleton Pirate,A good captain stops ships from sinking.,"Desaft, Nevernamed"
Revenant,Undead,Common,3 bones,3,1,Brittle,,,Skeleton,A bringer of death and renderer of flesh.,Pixel Profligate
Shade,Undead,Common,3 bones,0,1,"Stalker, Haunter",,,Spectre,Always looming in the background.,Murigen
Shadow,Undead,Common,3 bones,X,1,"Haunter, Facsimile",,,Spectre,An apt reflection of those around it.,Pixel Profligate
Shambler,Undead,Common,3 bones,1,2,Horde,,,Zombie,Their numbers grow with their infection.,Pixel Profligate
Skelemancer,Undead,Common,3 bones,0,2,Double Death,,,Skeleton,Still training to raise the dead properly.,Desaft
Spirit Orb,Undead,Common,3 bones,0,1,"Blue Gem, Haunter",,,Spectre,Even the lowliest of spirits have use.,Pixel Profligate
Necrose,Undead,Common,3 bones,1,1,Swarm,,,Zombie,Overcome with a strain of disease.,"Murigen, Prof. Eggnog"
The Bloated,Undead,Common,3 bones,1,1,Marrow Blast,,,Zombie,"Grotesque boils, ready to burst.",Pixel Profligate
Big Dig,Undead,Common,4 bones,0,4,"Unburial, Tomb Digger",,,,"Sometimes, one little shovel isn't enough.",Murigen
Exorcist,Undead,Common,4 bones,2,1,Purist,,,Skeleton,Banishing his kind.,Murigen
Frank & Stein,Undead,Common,4 bones,2,2,,Zombie,,Zombie Conduit Construct,"Sewn together, friends forever.",Pixel Profligate
Ghost Ship,Undead,Common,4 bones,0,1,"Waterborne, Skeleton Crew",,,Pirate Spectre,Fully staffed and ready to plunder.,Pixel Profligate
Ghost of the Past,Undead,Common,4 bones,0,2,Reaction Replica,,,Spectre,Nothing you do shall go unpunished.,
Hanged Man,Undead,Common,4 bones,3,1,"Airborne, Brittle",,,Skeleton,His broken body sways in the breeze.,Pixel Profligate
Haunted Tombstone,Undead,Common,4 bones,0,4,"Made of Stone, Night of the Living Dead",,,Possessed,A monument to the dearly departed.,Pixel Profligate
Nosferatu,Undead,Common,4 bones,1,4,"Bloodsucker, Flying Transformer",,,,A bloodsucking prowler of the night.,Pixel Profligate
Sarcophagus,Undead,Common,4 bones,0,3,Creeping Outwards,Mummy Lord,,Possessed,Traps an evil on the verge of escape.,Pixel Profligate
Scarecrow,Undead,Common,4 bones,1,2,"Bifurcated Strike, Scavenger",,,,"Forced to harvest, as long as it stands.",Pixel Profligate
The Walkers,Undead,Common,4 bones,1,2,Bone King,,,Zombie,"They lived together, they died together.",Pixel Profligate
Wechuge,Undead,Common,4 bones,1,2,"Double Strike, Ensouled",,,Possessed,An ancient cannibalistic spirit.,"Desaft, Nevernamed"
Allip,Undead,Common,5 bones,2,1,Soul Stealer,,,Spectre,A spiteful visage of what once was.,Murigen
Bone Scrounger,Undead,Common,5 bones,1,3,"Bone Digger, Scavenger",,,Skeleton,Some are forced to scavenge the graves.,Pixel Profligate
Cadaver Rat,Undead,Common,5 bones,1,1,"Corpse Eater, Scavenger",,,Vermin Zombie,A corpse within a corpse.,Pixel Profligate
Ectoplasm,Undead,Common,5 bones,1,2,"Fecundity, Memoriam",,,Spectre,"Remains of a spirit, quick to expand.",Pixel Profligate
Gargoyle,Undead,Common,5 bones,1,4,"Made of Stone, Guardian, Mighty Leap",,,Possessed,"Protecting the mausoleum, by force.",syntaxevasion
Librarian,Undead,Common,5 bones,1,2,"Hoarder, Memoriam",,,Skeleton,They search for knowledge beyond life.,Pixel Profligate
Nurikabe,Undead,Common,5 bones,0,3,"Burrower, Sharp Quills, Made of Stone, Bastion",,,Spectre,An invisible wall blocks the way.,Murigen
Plague Doctor,Undead,Common,5 bones,1,2,"Touch of Death, Plague",,,,"Wherever they travel, death follows.",Murigen
Possessed Armor,Undead,Common,5 bones,1,4,"Armored, Ensouled",,,Possessed,A common vessel for spirits.,Pixel Profligate
Underworld Centurion,Undead,Common,5 bones,2,1,"Double Strike, Armored, Brittle",,,,"A legionnaire in life, a soldier beyond.",Murigen
Bonehound,Undead,Common,6 bones,2,3,Guardian,,,Canine Skeleton Hound,"Ever loyal, even beyond the grave.",Pixel Profligate
Coroner,Undead,Common,6 bones,2,2,"Snag, Desecration",,,,The deceased won't resist much longer.,Murigen
Head Hunter,Undead,Common,6 bones,2,1,"Sniper, Skull Taker",,,,Bringing forth the rewards of each kill.,Desaft
Heretic,Undead,Common,5 bones,0,4,"Snag, Puppet Master",,,Skeleton,A persistent lie can be powerful.,Murigen
Lich,Undead,Common,6 bones,2,1,"Leader, Memoriam",,,Skeleton,Ever emboldening their undead horde.,Pixel Profligate
Pati-ant Zero,Undead,Common,6 bones,1,1,"Corpse Eater, Poisonous",,,Zombie Ant Insect,Isn't nature beautiful?,Desaft
Silent Wanderer,Undead,Common,6 bones,2,1,Spirit Medium,,,,"",Murigen
Billow,Undead,Common,7 bones,1,4,"Regurgitate, Detonator",,,Zombie,What horrors lay inside its abject gut?,Murigen
Spine Wyrm,Undead,Common,7 bones,3,2,"Sharp Quills, Spine Walker",,,Skeleton Reptile,A monstrous force of ivory.,Pixel Profligate
Bone Devil,Undead,Common,9 bones,4,2,"Scavenger, Ensouled",,,Skeleton Demon,An infernal and sadistic creature.,Murigen
Carrion Mouth,Undead,Common,10 bones,2,5,"Bloodsucker, Deathtrap",,,,"Locked away, and for good reason.",Pixel Profligate
Rags,Undead,Common,2 energy,0,2,"Unburial, Haunter",,,Spectre,That one seems happier in death.,Murigen
Lost Hewer,Undead,Common,3 energy,1,1,Shovel Latch,,,Spectre,"Despite everything, the labor continues.",Murigen
Spook,Undead,Common,3 energy,0,2,"Burrower, Fracture, Bone Digger",,,Spectre,Boo!,Murigen
Poltergeist,Undead,Common,4 energy,1,1,"Airborne, Warper",,,Spectre,An incorporeal menace.,"Desaft, Nevernamed"
Tsukumogami,Undead,Common,4 energy,0,1,"Bone Digger, Haunter",,,Possessed,A tool that's lived for a century.,Murigen
Wraith,Undead,Common,1 max + 8 energy,2,1,"Guardian, Sharp Quills",,,Spectre,An inescapable harbinger of death.,Murigen
Clot,Undead,Common,2 blood,0,2,Fledgling,Meatman,,,An unfortunate pile of meat and thought.,Pixel Profligate
Ghoul,Undead,Common,2 blood,2,2,"Corpse Eater, Rotting",,,Demon,A scavenger of fresh blood.,Pixel Profligate
Mound of Flesh,Undead,Common,2 blood,0,3,"Many Lives, Unkillable",,,,Forever regrowing its own tissue.,Pixel Profligate
Meatman,Undead,Common,3 blood,3,3,"Worthy Sacrifice, Haunter",,,Demon,An ever-imposing wall of meat.,Pixel Profligate
Mimic,Undead,Common,2 sapphires,0,2,"Fledgling, Gift Bearer",Carrion Mouth,,Possessed,Contains naught but secrets and fear.,Pixel Profligate
The Smoke,Undead,Uncommon,1 bone,0,1,"Bone King, Scalebound",,,Spectre,The last wisp of a life snuffed out.,Pixel Profligate
Skelemaster,Undead,Uncommon,5 bones,0,4,"Recall the Broken, Fragile Construct",,,Skeleton,Has an affinity for all things brittle.,Murigen
Gone,Undead,Uncommon,4 bones,0,1,Immortal Latch,,,Spectre,,Desaft
Pharaoh's Pets,Undead,Uncommon,6 bones,0,1,"Many Lives, Bloody Hemanation",,,Zombie,"An inseperable pair, fit for a king.",Pixel Profligate
Summoner,Undead,Uncommon,6 bones,0,4,"Soul Raiser, Memoriam",,,Demon,Its companions won't leave them so soon.,Murigen
Nachzehrer,Undead,Uncommon,7 bones,2,1,"Bloodsucker, Bloodlust, Scrounger",,,Zombie,Consuming whatever carrion it can find.,Pixel Profligate
Mummy Lord,Undead,Uncommon,8 bones,3,3,Purist,,,Noble Zombie,"A monster in life, a monster in death.",Pixel Profligate
Abyss Watcher,Undead,Uncommon,9 bones,2,2,"Double Strike, Horde",,,Zombie,Guardians of unknowable depths.,"Murigen, Ixams"
Wight,Undead,Uncommon,9 bones,2,2,Legion,,,Zombie,"A venerable commander, more so in death.",Murigen
Abomination,Undead,Uncommon,10 bones,1,7,"Attack Conduit, Stinky",,,Zombie Conduit Construct,Cobbled together from skin and bone.,Pixel Profligate
Creaking Skull,Undead,Uncommon,11 bones,3,4,Bone King,,,Skeleton,Bones rattle in the night.,Murigen
Apparition,Undead,Uncommon,4 energy,1,1,"Horde, Scrounger",,,Spectre,"Prankish and playful, but oh so spiteful.",Murigen
Phantom Mass,Undead,Uncommon,8 energy,0,3,Spirit Spread,,,Spectre,A conglomeration of tortured souls.,Pixel Profligate
Undead Cat,Undead,Uncommon,4 blood,3,6,Unkillable,,,Zombie,Poor creature... how it has suffered.,Pixel Profligate
Bone Heap,Undead,Rare,2 bones,0,1,Enlarge,,,Skeleton,A mass of marrow and carrion.,Pixel Profligate
Bone Lord's Horn,Undead,Rare,3 bones,0,1,Bonehorn,,,Demon,This is a rather... interesting boon.,Pixel Profligate
Drowned Soul,Undead,Rare,3 bones,1,1,"Touch of Death, Waterborne",,,Spectre,A shame no one was there to save them.,Pixel Profligate
Slinger's Soul,Undead,Rare,6 bones,3,1,Energy Gun,,,Spectre,A stalwart spirit sharpshooter.,Desaft
Tomb Robber,Undead,Rare,3 bones,0,2,Disentomb,,,,A little investment goes a long way.,Pixel Profligate
Dead Hand,Undead,Rare,4 bones,1,1,Handy,,,Zombie,"Not all there, but carries a boon.",Pixel Profligate
Long Elk,Undead,Rare,5 bones,1,2,"Spine Walker, Touch of Death",,,Hooved Skeleton,Words cannot describe this... creature.,Pixel Profligate
Necromancer,Undead,Rare,7 bones,0,2,"Double Death, Memoriam",,,Skeleton,"Back from the grave, if only briefly.",Pixel Profligate
Night Shifters,Undead,Rare,5 bones,0,5,"Sprinter, Mass Grave, Rotting",,,Employee,"Working the graveyard shift, together.","Yoyo, Lilith"
Skeleton Army,Undead,Rare,5 bones,1,1,Skeletal Horde,,,Skeleton,"A frenzied hoard, seeking vengeance.",Desaft
Davy Jones,Undead,Rare,10 bones,2,3,"Looter, Sea Shanty",,,Skeleton Pirate Spectre,,"Desaft, Nevernamed"
Grave Knight,Undead,Rare,9 bones,4,4,"Repulsive, Rotting",,,,"Sworn to protect, even from beyond.",PaperPyro
Skeletaur,Undead,Rare,11 bones,3,2,"Double Strike, Rampager",,,Hooved Skeleton,Its labyrinth became its tomb.,Pixel Profligate
Headless Horseman,Undead,Rare,17 bones,5,5,"Airborne, Sprinter",,,Spectre,Striking fear into all who see him.,Pixel Profligate
Gashadokuro,Undead,Rare,18 bones,6,6,"Brittle, Spine Ripper",,,Skeleton,"The spite of a thousand bones, at once.",Murigen
The Reaper,Undead,Rare,12 energy,0,2,"Touch of Death, Bell Ringer, Haunter",,,Skeleton Spectre,Your time is up.,Murigen
Pumpkin King,Undead,Rare,3 blood,1,7,"Pay Tribute, Rooted",,,Noble Pumpkin,Always in need of bloody sacrifice.,Pixel Profligate
Frozen Frame,Undead,Talking,3 bones,1,1,"Sharp Quills, Frozen Away",Draugr,,Skeleton,"""Dude! Maybe turn up the heat a little?""",Pixel Profligate
Gnawed Remains,Undead,Talking,3 bones,0,3,"Chew Toy, Dog Treat",,,Skeleton,"""P-Please don't play me...""",Pixel Profligate
Scurvy Cap'n,Undead,Talking,3 bones,1,2,"Skeleton Crew, Sea Shanty",,,Skeleton Pirate,"""I git t'live out me dream as a card!""",Pixel Profligate
Burnt Body,Undead,Talking,4 bones,1,4,"Raging Flames, Sharp Quills",,,Zombie,"""Oh cool, it's me. Great.""",Pixel Profligate
